ID,AU,TI,SO,KW,AB,AF,TC,DI,PY
1717,"Wernberg, Thomas; Bennett, Scott; Babcock, Russell C.; de Bettignies, Thibaut; Cure, Katherine; Depczynski, Martial; Dufois, Francois; Fromont, Jane; Fulton, Christopher J.; Hovey, Renae K.; Harvey, Euan S.; Holmes, Thomas H.; Kendrick, Gary A.; Radford, Ben; Santana-Garcon, Julia; Saunders, Benjamin J.; Smale, Dan A.; Thomsen, Mads S.; Tuckett, Chenae A.; Tuya, Fernando; Vanderklift, Mathew A.; Wilson, Shaun",Climate-driven regime shift of a temperate marine ecosystem,SCIENCE,PHASE-SHIFTS; CORAL-REEFS; KELP BEDS; EL-NINO; RESILIENCE; DIVERSITY; STABILITY; FUTURE,"Ecosystem reconfigurations arising from climate-driven changes in species distributions are expected to have profound ecological, social, and economic implications. Here we reveal a rapid climate-driven regime shift of Australian temperate reef communities, which lost their defining kelp forests and became dominated by persistent seaweed turfs. After decades of ocean warming, extreme marine heat waves forced a 100-kilometer range contraction of extensive kelp forests and saw temperate species replaced by seaweeds, invertebrates, corals, and fishes characteristic of subtropical and tropical waters. This community-wide tropicalization fundamentally altered key ecological processes, suppressing the recovery of kelp forests.","[Wernberg, Thomas; Bennett, Scott; Babcock, Russell C.; de Bettignies, Thibaut; Cure, Katherine; Hovey, Renae K.; Holmes, Thomas H.; Kendrick, Gary A.; Santana-Garcon, Julia; Smale, Dan A.; Thomsen, Mads S.; Tuckett, Chenae A.; Wilson, Shaun] Univ Western Australia, Sch Plant Biol, 39 Fairway, Crawley, WA 6009, Australia; [Wernberg, Thomas; Bennett, Scott; Babcock, Russell C.; de Bettignies, Thibaut; Cure, Katherine; Hovey, Renae K.; Holmes, Thomas H.; Kendrick, Gary A.; Santana-Garcon, Julia; Smale, Dan A.; Thomsen, Mads S.; Tuckett, Chenae A.; Wilson, Shaun] Univ Western Australia, Oceans Inst, 39 Fairway, Crawley, WA 6009, Australia; [Bennett, Scott; Harvey, Euan S.; Santana-Garcon, Julia; Saunders, Benjamin J.] Curtin Univ, Sch Sci, Dept Environm & Agr, Bentley, WA 6102, Australia; [Bennett, Scott; Santana-Garcon, Julia] Univ Illes Balears, CSIC, Inst Mediterrani Estudis Avancats, Dept Global Change Res, Esporles, Spain; [Babcock, Russell C.] Commonwealth Sci & Ind Res Org CSIRO Oceans & Atm, Gen POB 2583, Brisbane, Qld 4001, Australia; [de Bettignies, Thibaut] Museum Natl Hist Nat, Serv Patrimoine Nat, 36 Rue Geoffroy St Hilaire CP41, F-75005 Paris, France; [Cure, Katherine; Depczynski, Martial; Radford, Ben] Australian Inst Marine Sci, 39 Fairway, Crawley, WA 6009, Australia; [Dufois, Francois; Vanderklift, Mathew A.] CSIRO Oceans & Atmosphere Flagship, Private Bag 5, Wembley, WA 6913, Australia; [Fromont, Jane] Western Australian Museum, Locked Bag 49, Welshpool Dc, WA 6986, Australia; [Fulton, Christopher J.] Australian Natl Univ, Res Sch Biol, Canberra, ACT 2601, Australia; [Holmes, Thomas H.; Wilson, Shaun] Dept Pk & Wildlife, Marine Sci Program, Div Sci, Kensington, WA 6151, Australia; [Radford, Ben; Smale, Dan A.] Univ Western Australia, Sch Geog & Environm Sci, 39 Fairway, Crawley, WA 6009, Australia; [Thomsen, Mads S.] Marine Biol Assoc United Kingdom Lab, Citadel Hill, Plymouth PL1 2PB, Devon, England; [Tuya, Fernando] Univ Canterbury, Sch Biol Sci, Marine Ecol Grp, Private Bag 4800, Christchurch, New Zealand; Univ Las Palmas Gran Canaria, Inst Univ Ecoaqua, Las Palmas Gran Canaria 35017, Canary Islands, Spain",176,10.1126/science.aad8745,2016
1718,"Ainsworth, Tracy D.; Gates, Ruth D.",Corals' microbial sentinels The coral microbiome will be key to future reef health,SCIENCE,,,"[Ainsworth, Tracy D.] James Cook Univ, IARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, Australia; [Gates, Ruth D.] Univ Hawaii Manoa, Hawaii Inst Marine Biol, Honolulu, HI 96822 USA",22,10.1126/science.aad9957,2016
1719,"Pfenning, David W.",EVOLUTIONARY BIOLOGY To mimicry and back again,NATURE,CORAL SNAKE MIMICRY; BATESIAN MIMICRY; FREQUENCY; PREDATORS,,"[Pfenning, David W.] Univ N Carolina, Dept Biol, CB 3280, Chapel Hill, NC 27599 USA",1,,2016
1720,[Anonymous],Great Barrier Reef coral deaths,SCIENCE,,,,0,,2016
1721,"Douvere, Fanny",The seas cannot be saved on a budget of breadcrumbs,NATURE,CLIMATE-CHANGE; CORAL-REEFS,,"[Douvere, Fanny] UNESCO, World Heritage Marine Programme, Paris, France",0,10.1038/534030a,2016
1722,"Ainsworth, Tracy D.; Heron, Scott F.; Ortiz, Juan Carlos; Mumby, Peter J.; Grech, Alana; Ogawa, Daisie; Eakin, C. Mark; Leggat, William",Climate change disables coral bleaching protection on the Great Barrier Reef,SCIENCE,STRESS; PROJECTIONS; RESISTANCE; EMISSIONS; RESPONSES,"Coral bleaching events threaten the sustainability of the Great Barrier Reef (GBR). Here we show that bleaching events of the past three decades have been mitigated by induced thermal tolerance of reef-building corals, and this protective mechanism is likely to be lost under near-future climate change scenarios. We show that 75% of past thermal stress events have been characterized by a temperature trajectory that subjects corals to a protective, sub-bleaching stress, before reaching temperatures that cause bleaching. Such conditions confer thermal tolerance, decreasing coral cell mortality and symbiont loss during bleaching by over 50%. We find that near-future increases in local temperature of as little as 0.5 degrees C result in this protective mechanism being lost, which may increase the rate of degradation of the GBR.","[Ainsworth, Tracy D.; Ogawa, Daisie; Leggat, William] James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld 4810, Australia; [Heron, Scott F.; Eakin, C. Mark] NOAA, Coral Reef Watch, College Pk, MD 20740 USA; [Heron, Scott F.] James Cook Univ, Coll Sci Technol & Engn, Marine Geophys Lab, Townsville, Qld 4811, Australia; [Ortiz, Juan Carlos; Mumby, Peter J.] Univ Queensland, Sch Biol Sci, Marine Spatial Ecol Lab, Brisbane, Qld 4072, Australia; [Ortiz, Juan Carlos; Mumby, Peter J.] Univ Queensland, Australian Res Council Ctr Excellence Coral Reef, Brisbane, Qld 4072, Australia; [Grech, Alana] Macquarie Univ, Dept Environm Sci, Sydney, NSW 2109, Australia; [Ogawa, Daisie; Leggat, William] James Cook Univ, Coll Publ Hlth Med & Vet Sci, Townsville, Qld 4810, Australia",102,10.1126/science.aac7125,2016
1723,"Knowles, B.; Silveira, C. B.; Bailey, B. A.; Barott, K.; Cantu, V. A.; Cobian-Gueemes, A. G.; Coutinho, F. H.; Dinsdale, E. A.; Felts, B.; Furby, K. A.; George, E. E.; Green, K. T.; Gregoracci, G. B.; Haas, A. F.; Haggerty, J. M.; Hester, E. R.; Hisakawa, N.; Kelly, L. W.; Lim, Y. W.; Little, M.; Luque, A.; McDole-Somera, T.; McNair, K.; de Oliveira, L. S.; Quistad, S. D.; Robinett, N. L.; Sala, E.; Salamon, P.; Sanchez, S. E.; Sandin, S.; Silva, G. G. Z.; Smith, J.; Sullivan, C.; Thompson, C.; Vermeij, M. J. A.; Youle, M.; Young, C.; Zgliczynski, B.; Brainard, R.; Edwards, R. A.; Nulton, J.; Thompson, F.; Rohwer, F.",Lytic to temperate switching of viral communities,NATURE,VIRUS-LIKE PARTICLES; GREAT-BARRIER-REEF; LIFE STRATEGIES; CYSTIC-FIBROSIS; CORAL-REEFS; MICROBIAL COMMUNITIES; METAGENOMIC DATASETS; RESPIRATORY-TRACT; BACTERIAL-VIRUSES; MARINE-BACTERIA,"Microbial viruses can control host abundances via density-dependent lytic predator-prey dynamics. Less clear is how temperate viruses, which coexist and replicate with their host, influence microbial communities. Here we show that virus-like particles are relatively less abundant at high host densities. This suggests suppressed lysis where established models predict lytic dynamics are favoured. Meta-analysis of published viral and microbial densities showed that this trend was widespread in diverse ecosystems ranging from soil to freshwater to human lungs. Experimental manipulations showed viral densities more consistent with temperate than lytic life cycles at increasing microbial abundance. An analysis of 24 coral reef viromes showed a relative increase in the abundance of hallmark genes encoded by temperate viruses with increased microbial abundance. Based on these four lines of evidence, we propose the Piggyback-the-Winner model wherein temperate dynamics become increasingly important in ecosystems with high microbial densities; thus 'more microbes, fewer viruses'.","[Knowles, B.; Silveira, C. B.; Cobian-Gueemes, A. G.; Dinsdale, E. A.; George, E. E.; Green, K. T.; Haas, A. F.; Haggerty, J. M.; Hester, E. R.; Hisakawa, N.; Kelly, L. W.; Lim, Y. W.; Little, M.; Quistad, S. D.; Robinett, N. L.; Sanchez, S. E.; Rohwer, F.] San Diego State Univ, Dept Biol, 5500 Campanile Dr, San Diego, CA 92182 USA; [Silveira, C. B.; Coutinho, F. H.; de Oliveira, L. S.; Thompson, C.; Thompson, F.] Univ Fed Rio de Janeiro, Inst Biol, Ave Carlos Chagas Filho 373, BR-21941599 Rio De Janeiro, Brazil; [Bailey, B. A.; Felts, B.; Luque, A.; Salamon, P.; Nulton, J.] San Diego State Univ, Dept Math & Stat, 5500 Campanile Dr, San Diego, CA 92182 USA; [Barott, K.] Univ Hawaii Manoa, Hawaii Inst Marine Biol, 46-007 Lilipuna Rd, Kaneohe, HI 96744 USA; [Cantu, V. A.; Luque, A.; McNair, K.; Silva, G. G. Z.; Edwards, R. A.] San Diego State Univ, Computat Sci Res Ctr, 5500 Campanile Dr, San Diego, CA 92182 USA; [Coutinho, F. H.] Radboud Univ Nijmegen, Med Ctr, Radboud Inst Mol Life Sci, Ctr Mol & Biomol Informat, NL-6525 HP Nijmegen, Netherlands; [Dinsdale, E. A.; Luque, A.; Salamon, P.; Edwards, R. A.; Rohwer, F.] San Diego State Univ, Viral Informat Inst, 5500 Campanile Dr, San Diego, CA 92182 USA; [Furby, K. A.; McDole-Somera, T.; Sandin, S.; Smith, J.; Zgliczynski, B.] Scripps Inst Oceanog, 8622 Kennel Way, La Jolla, CA 92037 USA; [Gregoracci, G. B.] Sao Paulo Fed Univ Baixada Santista, Marine Sci Dept, Ave Alm Saldanha da Gama 89, BR-11030400 Sao Paulo, Brazil; [Sala, E.] Natl Geog Soc, 1145 17th St NW, Washington, DC 20036 USA; [Sullivan, C.] Univ Calif San Diego, Dept Biol, 9500 Gilman Dr, La Jolla, CA 92093 USA; [Vermeij, M. J. A.] CARMABI Fdn, Piscaderabaai Z-N, Willemstad, Curacao, Neth Antilles; [Vermeij, M. J. A.] Univ Amsterdam, Inst Biodivers & Ecosyst Dynam, Aquat Microbiol, NL-1098 XH Amsterdam, Netherlands; [Youle, M.] Rainbow Rock, Ocean View, HI 96737 USA; [Young, C.; Brainard, R.] NOAA, Coral Reef Ecosyst Div, PIFSC, 1845 Wasp Blvd, Honolulu, HI 96818 USA; [Edwards, R. A.] San Diego State Univ, Dept Comp Sci, 5500 Campanile Dr, San Diego, CA 92182 USA",97,10.1038/nature17193,2016
1724,"Lough, Janice M.",CORAL REEFS Turning back time,NATURE,OCEAN ACIDIFICATION; CARBON-DIOXIDE,,"[Lough, Janice M.] James Cook Univ, Australian Inst Marine Sci, Townsville, Qld 4811, Australia; [Lough, Janice M.] James Cook Univ, Australian Res Council, Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, Australia",5,10.1038/nature17302,2016
1725,"Albright, Rebecca; Caldeira, Lilian; Hosfelt, Jessica; Kwiatkowski, Lester; Maclaren, Jana K.; Mason, Benjamin M.; Nebuchina, Yana; Ninokawa, Aaron; Pongratz, Julia; Ricke, Katharine L.; Rivlin, Tanya; Schneider, Kenneth; Sesbouee, Marine; Shamberger, Kathryn; Silverman, Jacob; Wolfe, Kennedy; Zhu, Kai; Caldeira, Ken",Reversal of ocean acidification enhances net coral reef calcification,NATURE,MASSIVE PORITES; CARBONIC-ACID; GROWTH-RATES; SEAWATER; DISSOCIATION; MARINE; CHEMISTRY; CONSTANTS; DYNAMICS; ISLAND,"Approximately one-quarter of the anthropogenic carbon dioxide released into the atmosphere each year is absorbed by the global oceans, causing measurable declines in surface ocean pH, carbonate ion concentration ([CO32-]), and saturation state of carbonate minerals (Omega)(1). This process, referred to as ocean acidification, represents a major threat to marine ecosystems, in particular marine calcifiers such as oysters, crabs, and corals. Laboratory and field studies(2,3) have shown that calcification rates of many organisms decrease with declining pH, [CO32-], and Omega. Coral reefs are widely regarded as one of the most vulnerable marine ecosystems to ocean acidification, in part because the very architecture of the ecosystem is reliant on carbonate-secreting organisms(4). Acidification-induced reductions in calcification are projected to shift coral reefs from a state of net accretion to one of net dissolution this century(5). While retrospective studies show large-scale declines in coral, and community, calcification over recent decades(6-12), determining the contribution of ocean acidification to these changes is difficult, if not impossible, owing to the confounding effects of other environmental factors such as temperature. Here we quantify the net calcification response of a coral reef flat to alkalinity enrichment, and show that, when ocean chemistry is restored closer to pre-industrial conditions, net community calcification increases. In providing results from the first seawater chemistry manipulation experiment of a natural coral reef community, we provide evidence that net community calcification is depressed compared with values expected for pre-industrial conditions, indicating that ocean acidification may already be impairing coral reef growth.","[Albright, Rebecca; Caldeira, Lilian; Kwiatkowski, Lester; Maclaren, Jana K.; Nebuchina, Yana; Pongratz, Julia; Ricke, Katharine L.; Schneider, Kenneth; Sesbouee, Marine; Zhu, Kai; Caldeira, Ken] Carnegie Inst Sci, Dept Global Ecol, Stanford, CA 94305 USA; [Hosfelt, Jessica; Ninokawa, Aaron] Univ Calif Davis, Bodega Marine Lab, Bodega Bay, CA 94923 USA; [Maclaren, Jana K.] Stanford Univ, Stanford Nano Shared Facil, Stanford, CA 94305 USA; [Mason, Benjamin M.] Stanford Univ, Dept Genet, Sch Med, Stanford, CA 94305 USA; [Pongratz, Julia] Max Planck Inst Meteorol, Bundesstr 53, D-20146 Hamburg, Germany; [Ricke, Katharine L.] Cornell Univ, Sibley Sch Mech & Aerosp Engn, Ithaca, NY 14853 USA; [Rivlin, Tanya] Hebrew Univ Jerusalem, Interuniv Inst Marine Sci, H Steinitz Marine Biol Lab, Elat, Israel; [Rivlin, Tanya] Hebrew Univ Jerusalem, Fredy & Nadine Herrman Inst Earth Sci, Edmond J Safra Campus, Jerusalem, Israel; [Schneider, Kenneth] Hebrew Univ Jerusalem, Robert H Smith Fac Agr Food & Environm, IL-76100 Rehovot, Israel; [Shamberger, Kathryn] Woods Hole Oceanog Inst, Woods Hole, MA 02543 USA; [Shamberger, Kathryn] Texas A&M Univ, College Stn, TX 77843 USA; [Silverman, Jacob] Inst Oceanog & Limnol Res, Haifa, Israel; [Wolfe, Kennedy] Univ Sydney, Sch Med Sci, Sydney, NSW 2006, Australia; [Zhu, Kai] Stanford Univ, Dept Biol, Stanford, CA 94305 USA; [Zhu, Kai] Rice Univ, Dept BioSci, Houston, TX 77005 USA",79,10.1038/nature17155,2016
1726,"McMahon, Kelton W.; McCarthy, Matthew D.; Sherwood, Owen A.; Larsen, Thomas; Guilderson, Thomas P.",Millennial- scale plankton regime shifts in the subtropical North Pacific Ocean,SCIENCE,ORGANIC-MATTER; COMMUNITY STRUCTURE; MARINE PLANKTON; CARBON; GYRE; PATTERNS; SEA; PHYTOPLANKTON; DELTA-C-13; NITROGEN,"Climate change is predicted to alter marine phytoplankton communities and affect productivity, biogeochemistry, and the efficacy of the biological pump. We reconstructed high-resolution records of changing plankton community composition in the North Pacific Ocean over the past millennium. Amino acid-specific delta C-13 records preserved in long-lived deep-sea corals revealed three major plankton regimes corresponding to Northern Hemisphere climate periods. Non-dinitrogen-fixing cyanobacteria dominated during the Medieval Climate Anomaly (950-1250 Common Era) before giving way to a new regime in which eukaryotic microalgae contributed nearly half of all export production during the Little Ice Age (similar to 1400-1850 Common Era). The third regime, unprecedented in the past millennium, began in the industrial era and is characterized by increasing production by dinitrogen-fixing cyanobacteria. This picoplankton community shift may provide a negative feedback to rising atmospheric carbon dioxide concentrations.","[McMahon, Kelton W.; McCarthy, Matthew D.; Guilderson, Thomas P.] Univ Calif Santa Cruz, Dept Ocean Sci, Santa Cruz, CA 95064 USA; [McMahon, Kelton W.; Guilderson, Thomas P.] Univ Calif Santa Cruz, Inst Marine Sci, Santa Cruz, CA 95064 USA; [Sherwood, Owen A.] Univ Colorado, Inst Arctic & Alpine Res, Boulder, CO 80309 USA; [Larsen, Thomas] Univ Kiel, Leibniz Lab Radiometr Dating & Stable Isotope Res, D-24118 Kiel, Germany; [Guilderson, Thomas P.] Lawrence Livermore Natl Lab, Livermore, CA 94550 USA",23,10.1126/science.aaa9942,2015
1727,"Spalding, Mark D.; Brown, Barbara E.",Warm-water coral reefs and climate change,SCIENCE,GREAT-BARRIER-REEF; OCEAN ACIDIFICATION; PHASE-SHIFTS; RESILIENCE; RECOVERY; DECLINE; MORTALITY; DRIVEN; COVER,"Coral reefs are highly dynamic ecosystems that are regularly exposed to natural perturbations. Human activities have increased the range, intensity, and frequency of disturbance to reefs. Threats such as overfishing and pollution are being compounded by climate change, notably warming and ocean acidification. Elevated temperatures are driving increasingly frequent bleaching events that can lead to the loss of both coral cover and reef structural complexity. There remains considerable variability in the distribution of threats and in the ability of reefs to survive or recover from such disturbances. Without significant emissions reductions, however, the future of coral reefs is increasingly bleak.","[Spalding, Mark D.] Univ Siena, Dept Phys Earth & Environm Sci, Global Ocean Team, Nat Conservancy, I-53100 Siena, Italy; [Spalding, Mark D.] Univ Cambridge, Dept Zool, Cambridge CB2 3EJ, England; [Brown, Barbara E.] Newcastle Univ, Sch Biol, Newcastle Upon Tyne NE1 7RU, Tyne & Wear, England; [Brown, Barbara E.] Univ Highlands & Islands, Environm Res Inst, Thurso KW14 7EE, Scotland",51,10.1126/science.aad0349,2015
1728,"Lin, Senjie; Cheng, Shifeng; Song, Bo; Zhong, Xiao; Lin, Xin; Li, Wujiao; Li, Ling; Zhang, Yaqun; Zhang, Huan; Ji, Zhiliang; Cai, Meichun; Zhuang, Yunyun; Shi, Xinguo; Lin, Lingxiao; Wang, Lu; Wang, Zhaobao; Liu, Xin; Yu, Sheng; Zeng, Peng; Hao, Han; Zou, Quan; Chen, Chengxuan; Li, Yanjun; Wang, Ying; Xu, Chunyan; Meng, Shanshan; Xu, Xun; Wang, Jun; Yang, Huanming; Campbell, David A.; Sturm, Nancy R.; Dagenais-Bellefeuille, Steve; Morse, David",The Symbiodinium kawagutii genome illuminates dinoflagellate gene expression and coral symbiosis,SCIENCE,SMALL RNAS; HOST; GLUCOSE; SID-1; ALGAE,"Dinoflagellates are important components of marine ecosystems and essential coral symbionts, yet little is known about their genomes. We report here on the analysis of a high-quality assembly from the 1180-megabase genome of Symbiodinium kawagutii. We annotated protein-coding genes and identified Symbiodinium-specific gene families. No whole-genome duplication was observed, but instead we found active (retro) transposition and gene family expansion, especially in processes important for successful symbiosis with corals. We also documented genes potentially governing sexual reproduction and cyst formation, novel promoter elements, and a microRNA system potentially regulating gene expression in both symbiont and coral. We found biochemical complementarity between genomes of S. kawagutii and the anthozoan Acropora, indicative of host-symbiont coevolution, providing a resource for studying the molecular basis and evolution of coral symbiosis.","[Lin, Senjie; Lin, Xin; Li, Ling; Zhang, Yaqun; Shi, Xinguo; Lin, Lingxiao; Wang, Lu; Meng, Shanshan] Xiamen Univ, State Key Lab Marine Environm Sci & Marine Biodiv, Xiamen 361101, Peoples R China; [Lin, Senjie; Lin, Xin; Li, Ling; Zhang, Yaqun; Shi, Xinguo; Lin, Lingxiao; Wang, Lu; Meng, Shanshan] Xiamen Univ, Global Change Res Ctr, Xiamen 361101, Peoples R China; [Lin, Senjie; Zhang, Huan; Zhuang, Yunyun] Univ Connecticut, Dept Marine Sci, Groton, CT 06340 USA; [Cheng, Shifeng; Song, Bo; Zhong, Xiao; Li, Wujiao; Wang, Zhaobao; Liu, Xin; Yu, Sheng; Zeng, Peng; Chen, Chengxuan; Li, Yanjun; Wang, Ying; Xu, Chunyan; Xu, Xun; Wang, Jun; Yang, Huanming] Beijing Genom Inst BGI Shenzhen, Shenzhen 518083, Peoples R China; [Cheng, Shifeng] Univ Hong Kong, Hong Kong Univ HKU BGI Bioinformat Algorithms & C, Dept Comp Sci, Hong Kong, Hong Kong, Peoples R China; [Cheng, Shifeng] Univ Hong Kong, Sch Biol Sci, Pokfulam, Hong Kong, Peoples R China; [Ji, Zhiliang; Cai, Meichun; Zou, Quan] Xiamen Univ, Sch Life Sci, State Key Lab Stress Cell Biol, Xiamen 361101, Peoples R China; [Hao, Han] Agcy Sci Technol & Res, Bioinformat Inst, Singapore, Singapore; [Wang, Jun] Univ Copenhagen, Dept Biol, DK-2200 Copenhagen, Denmark; [Wang, Jun; Yang, Huanming] King Abdulaziz Univ, Princess Al Jawhara Ctr Excellence Res Hereditary, Jeddah 21413, Saudi Arabia; [Yang, Huanming] James D Watson Inst Genome Sci, Hangzhou, Zhejiang, Peoples R China; [Campbell, David A.; Sturm, Nancy R.] Univ Calif Los Angeles, David Geffen Sch Med, Dept Microbiol Immunol & Mol Genet, Los Angeles, CA 90095 USA; [Dagenais-Bellefeuille, Steve; Morse, David] Univ Montreal, Dept Sci Biol, Inst Rech Biol Vegetale, Montreal, PQ H3C 3J7, Canada",132,10.1126/science.aad0408,2015
1729,"Lovelock, Catherine E.; Cahoon, Donald R.; Friess, Daniel A.; Guntenspergen, Glenn R.; Krauss, Ken W.; Reef, Ruth; Rogers, Kerrylee; Saunders, Megan L.; Sidik, Frida; Swales, Andrew; Saintilan, Neil; Thuyen, Le Xuan; Triet, Tran",The vulnerability of Indo-Pacific mangrove forests to sea-level rise,NATURE,NORTHERN AUSTRALIA; SALT-MARSH; SEDIMENTATION; EVOLUTION; ELEVATION; IMPACTS; ADJUST,"Sea-level rise can threaten the long-term sustainability of coastal communities and valuable ecosystems such as coral reefs, salt marshes and mangroves(1,2). Mangrove forests have the capacity to keep pace with sea-level rise and to avoid inundation through vertical accretion of sediments, which allows them to maintain wetland soil elevations suitable for plant growth(3). The Indo-Pacific region holds most of the world's mangrove forests(4), but sediment delivery in this region is declining, owing to anthropogenic activities such as damming of rivers(5). This decline is of particular concern because the Indo-Pacific region is expected to have variable, but high, rates of future sea-level rise(6,7). Here we analyse recent trends in mangrove surface elevation changes across the Indo-Pacific region using data from a network of surface elevation table instruments(8-10). We find that sediment availability can enable mangrove forests to maintain rates of soil-surface elevation gain that match or exceed that of sea-level rise, but for 69 per cent of our study sites the current rate of sea-level rise exceeded the soil surface elevation gain. We also present a model based on our field data, which suggests that mangrove forests at sites with low tidal range and low sediment supply could be submerged as early as 2070.","[Lovelock, Catherine E.; Reef, Ruth; Swales, Andrew] Univ Queensland, Sch Biol Sci, Brisbane, Qld 4072, Australia; [Lovelock, Catherine E.; Reef, Ruth; Saunders, Megan L.] Univ Queensland, Global Change Inst, Brisbane, Qld 4072, Australia; [Cahoon, Donald R.; Guntenspergen, Glenn R.] US Geol Survey, Patuxent Wildlife Res Ctr, Laurel, MD 20708 USA; [Friess, Daniel A.] Natl Univ Singapore, Dept Geog, Singapore 117570, Singapore; [Reef, Ruth] Univ Cambridge, Dept Geog, Cambridge Coastal Res Unit, Cambridge CB2 3EN, England; [Rogers, Kerrylee] Univ Wollongong, Sch Earth & Environm Sci, Wollongong, NSW 2522, Australia; [Sidik, Frida] Minist Marine Affairs & Fisheries, Inst Marine Res & Observat, Bali 82251, Indonesia; [Swales, Andrew] Natl Inst Water & Atmospher Res, Hamilton 3251, New Zealand; [Saintilan, Neil] Macquarie Univ, Dept Environm Sci, Sydney, NSW 2109, Australia; [Thuyen, Le Xuan; Triet, Tran] Vietnam Natl Univ, Univ Sci, Ho Chi Minh City, Vietnam",130,10.1038/nature15538,2015
1730,[Anonymous],Third global coral bleaching event on record is underway,SCIENCE,,,,0,,2015
1731,"Chen, Tianyu; Robinson, Laura F.; Burke, Andrea; Southon, John; Spooner, Peter; Morris, Paul J.; Ng, Hong Chin",Synchronous centennial abrupt events in the ocean and atmosphere during the last deglaciation,SCIENCE,MERIDIONAL OVERTURNING CIRCULATION; HIGH-RESOLUTION RECORD; HEINRICH STADIAL 1; NORTH-ATLANTIC; CO2 RISE; GLACIAL TERMINATION; TROPICAL ATLANTIC; SOUTHERN-OCEAN; HULU CAVE; DEEP-SEA,"Antarctic ice-core data reveal that the atmosphere experienced abrupt centennial increases in CO2 concentration during the last deglaciation (similar to 18 thousand to 11 thousand years ago). Establishing the role of ocean circulation in these changes requires high-resolution, accurately dated marine records. Here, we report radiocarbon data from uranium-thorium-dated deep-sea corals in the Equatorial Atlantic and Drake Passage over the past 25,000 years. Two major deglacial radiocarbon shifts occurred in phase with centennial atmospheric CO2 rises at 14.8 thousand and 11.7 thousand years ago. We interpret these radiocarbon-enriched signals to represent two short-lived (less than 500 years) ""overshoot"" events, with Atlantic meridional overturning stronger than that of the modern era. These results provide compelling evidence for a close coupling of ocean circulation and centennial climate events during the last deglaciation.","[Chen, Tianyu; Robinson, Laura F.; Spooner, Peter; Morris, Paul J.; Ng, Hong Chin] Univ Bristol, Bristol Isotope Grp, Sch Earth Sci, Bristol, Avon, England; [Burke, Andrea] Univ St Andrews, Dept Earth & Environm Sci, St Andrews, Fife, Scotland; [Southon, John] Univ Calif Irvine, Sch Phys Sci, Irvine, CA USA",35,10.1126/science.aac6159,2015
1732,[Anonymous],Coral foe becomes a friend,NATURE,,,,0,,2015
